Date,Tournament,Court,Surface,Wrank,Lrank,Wage,Lage,Wheight,Lheight,Wtitles,Ltitles,Wh2h,Lh2h,winner_hand,loser_hand,winner_weight,loser_weight,winner_YTD_Won_Lost,loser_YTD_Won_Lost,winner_YTD_Titles,loser_YTD_Titles,winner_CAREER_W_L,loser_CAREER_W_L,winner_Career_Prize_Money,loser_Career_Prize_Money,Winner,Loser
2019.07.01,London,Outdoor,Grass,575,420,27,35,196,188,0,0,0,0,R,R,198,190,0/0,0/0,0,0,1/2,31/55,"$515,552","$1,696,974",Stefano Napolitano,Matthias Bachinger
2019.07.01,London,Outdoor,Grass,154,0,28,33,183,193,0,0,0,0,R,R,178,182,2/4,0/0,0,0,26/49,70/94,"$1,636,709","$1,828,800",Dennis Novak,Thiemo de Bakker
2019.07.01,London,Outdoor,Grass,271,339,30,33,193,180,0,0,0,0,L,R,193,152,0/1,0/0,0,0,10/10,11/22,"$387,622","$1,072,466",Roberto Quiroz,Jason Jung
2019.07.01,London,Outdoor,Grass,192,138,28,30,183,185,0,0,0,0,R,R,176,179,1/2,0/4,0,0,12/30,17/22,"$1,607,003","$761,144",Gregoire Barrere,Emilio Gomez
2019.07.01,London,Outdoor,Grass,89,119,26,30,180,180,0,0,0,0,R,R,173,170,12/11,0/0,0,0,25/37,1/6,"$1,792,016","$686,435",Kamil Majchrzak,Constant Lestienne
2019.07.01,London,Outdoor,Grass,460,172,26,27,183,,0,0,0,0,R,R,168,kg,0/0,0/0,0,0,6/13,1/0,"$1,063,485","$246,539",Antoine Hoang,Kaichi Uchida
2019.07.01,London,Outdoor,Grass,809,393,36,27,191,183,4,0,0,0,R,R,176,176,0/0,0/0,0,0,202/250,3/4,"$11,983,770","$465,904",Marcel Granollers,Pedja Krstin
2019.07.01,London,Outdoor,Grass,374,289,27,25,193,196,0,0,0,0,R,R,186,187,0/1,0/0,0,0,4/19,0/5,"$874,128","$680,319",Brayden Schnur,Maxime Janvier
2019.07.01,London,Outdoor,Grass,71,0,29,36,198,183,2,0,0,0,L,R,207,182,8/10,0/0,0,0,140/163,123/165,"$5,460,875","$5,938,143",Jiri Vesely,Simone Bolelli
2019.07.01,London,Outdoor,Grass,72,500,28,32,183,193,0,0,0,0,L,R,172,187,11/11,0/0,0,0,66/90,3/4,"$2,483,692","$494,129",Thiago Monteiro,Roberto Marcora
